restaurant,michelin_stars,city,province,region,coast_province,coordenates,latitude,longitude,price_menu_1,price_menu_2,price_average,type_of_cooking1,type_of_cooking2,international_cooking,regional_cooking
Yayo Daporta,1,Cambados,Pontevedra,Galicia,Yes,"42.512876,-8.8169706",42.512876,-8.8169706,65,120.0,92.5,Creativa,,,
Es Tragon,1,Sant Antoni de Portmany,Islas Baleares,Islas Baleares,Yes,"38.9955936,1.2894267",38.9955936,1.2894267,85,155.0,120.0,Creativa,,,
Venta Moncalvillo,1,Daroca de Rioja,La Rioja,La Rioja,No,"42.3714126,-2.5827635",42.3714126,-2.5827635,90,110.0,100.0,Moderna,,,
Raul Resino,1,Benicarlo,Castellon,C.Valenciana,Yes,"40.4222222,0.4272557",40.4222222,0.4272557,65,,65.0,Creativa,,,
Cancook,1,Zaragoza,Zaragoza,Aragon,No,"41.6347918,-0.9060888",41.6347918,-0.9060888,62,100.0,81.0,Creativa,,,
L'Antic Moli,1,Ulldecona,Tarragona,Cataluna,Yes,"40.6091133,0.334925",40.6091133,0.334925,60,95.0,77.5,Tradicional,,,
La Prensa,1,Zaragoza,Zaragoza,Aragon,No,"41.6332626,-0.8769784",41.6332626,-0.8769784,70,95.0,82.5,Creativa,,,
Marques de Riscal,1,Elciego,La Rioja,La Rioja,No,"42.4836424,-2.6815241",42.4836424,-2.6815241,110,140.0,125.0,Creativa,,,
Kiro Sushi,1,Logroo,La Rioja,La Rioja,No,"42.4623012,-2.4518336",42.4623012,-2.4518336,110,,110.0,Internacional,,Japonesa,
Ikaro,1,Logroo,La Rioja,La Rioja,No,"42.4643168,-2.4506718",42.4643168,-2.4506718,48,75.0,61.5,Creativa,,,
Les Moles,1,Ulldecona,Tarragona,Cataluna,Yes,"40.6038903,0.4182978",40.6038903,0.4182978,30,100.0,65.0,Creativa,Moderna,,
A Tafona,1,Santiago de Compostela,La Coruna,Galicia,Yes,"42.8807913,-8.5424076",42.8807913,-8.5424076,70,98.0,84.0,Moderna,,,
Casa Marcelo,1,Santiago de Compostela,La Coruna,Galicia,Yes,"42.8807047,-8.5491558",42.8807047,-8.5491558,40,70.0,55.0,Fusion,,,
Retiro da Costia,1,Santa Comba,La Coruna,Galicia,Yes,"43.03338,-8.8061827",43.03338,-8.8061827,50,90.0,70.0,Moderna,,,
Villa Retiro,1,Xerta,Tarragona,Cataluna,Yes,"40.9121081,0.488298",40.9121081,0.488298,58,120.0,89.0,Creativa,Tradicional,,
El Corral de Indianu,1,Arriondas,Asturias,Asturias,Yes,"43.3903133,-5.1865511",43.3903133,-5.1865511,50,95.0,72.5,Creativa,,,
Casa Marcial,2,La Salgar,Asturias,Asturias,Yes,"43.4184264,-5.1930837",43.4184264,-5.1930837,90,175.0,132.5,Creativa,,,Asturiana
El Retiro,1,Llanes,Asturias,Asturias,Yes,"43.412318,-4.7668317",43.412318,-4.7668317,60,115.0,87.5,Moderna,,,Asturiana
Arbidel,1,Ribadesella,Asturias,Asturias,Yes,"43.4612843,-5.0619682",43.4612843,-5.0619682,55,130.0,92.5,Moderna,,,Asturiana
La Salgar,2,Gijon,Asturias,Asturias,Yes,"43.5371374,-5.6372051",43.5371374,-5.6372051,55,85.0,70.0,Moderna,,,Asturiana
Auga,1,Gijon,Asturias,Asturias,Yes,"43.546534,-5.6688497",43.546534,-5.6688497,55,84.0,69.5,Moderna,,,Asturiana
Casa Gerardo,1,Prendes,Asturias,Asturias,Yes,"43.5553059,-5.7687693",43.5553059,-5.7687693,60,132.0,96.0,Moderna,,,Asturiana
Real Balneario,1,Salinas,Asturias,Asturias,Yes,"43.5772832,-5.9680505",43.5772832,-5.9680505,50,180.0,115.0,Tradicional,,,
arbore da Veira,1,La Coruna,La Coruna,Galicia,Yes,"43.3773564,-8.4353175",43.3773564,-8.4353175,50,80.0,65.0,Creativa,,,
El Nuevo Molino,1,Arce,Santander,Cantabria,Yes,"43.4060968,-3.9507236",43.4060968,-3.9507236,45,80.0,62.5,Moderna,,,
Solana,1,Ampuero,Santander,Cantabria,Yes,"43.3264644,-3.4553118",43.3264644,-3.4553118,50,90.0,70.0,Moderna,,,
As Garzas,1,Barizo,La Coruna,Galica,Yes,"43.3202778,-8.8741331",43.3202778,-8.8741331,45,70.0,57.5,Regional,,,Gallega
La Bicicleta,1,Hoznayo,Santander,Cantabria,Yes,"43.3901842,-3.7041164",43.3901842,-3.7041164,95,120.0,107.5,Moderna,,,
Asador Etxebarri,1,Axpe,Vizcaya,Pais Vasco,Yes,"43.1156216,-2.5993663",43.1156216,-2.5993663,100,198.0,149.0,Tradicional,,,
Cenador de Amos,3,Villaverde de Pontones,Santander,Cantabria,Yes,"43.4123995,-3.7013692",43.4123995,-3.7013692,177,210.0,193.5,Moderna,,,
Espacio N,1,Esquedas,Huesca,Aragon,No,"42.212151,-0.5481554",42.212151,-0.5481554,85,,85.0,Creativa,Tradicional,,
El Serbal,1,Santander,Santander,Cantabria,Yes,"43.4649051,-3.7979617",43.4649051,-3.7979617,48,92.0,70.0,Tradicional,,,
Mina,1,Bilbao,Vizcaya,Pais Vasco,Yes,"43.2549827,-2.9269726",43.2549827,-2.9269726,90,120.0,105.0,Creativa,de temporada,,
Zarate,1,Bilbao,Vizcaya,Pais Vasco,Yes,"43.2625749,-2.9457042",43.2625749,-2.9457042,55,85.0,70.0,Tradicional,,,
Ola Martin Berasategui,1,Bilbao,Vizcaya,Aragon,No,"43.2579419,-2.9285907",43.2579419,-2.9285907,60,110.0,85.0,Tradicional,Contemporanea,,
Lillas Pastia,1,Huesca,Huesca,Aragon,No,"42.1360918,-0.4117682",42.1360918,-0.4117682,45,70.0,57.5,Moderna,,,
Tatau,1,Huesca,Huesca,Aragon,No,"42.138461,-0.4106545",42.138461,-0.4106545,60,100.0,80.0,Creativa,Tradicional,,
Andra Mari,1,Galdakao,Vizcaya,Pais Vasco,Yes,"43.2344002,-2.8353597",43.2344002,-2.8353597,45,80.0,62.5,Tradicional,Contemporanea,,
Zortziko,1,Bilbao,Vizcaya,Pais Vasco,Yes,"43.2645994,-2.931633",43.2645994,-2.931633,65,110.0,87.5,Contemporanea,,,Espaola
Etxanobe Atelier,1,Bilbao,Vizcaya,Pais Vasco,Yes,"43.2654953,-2.9336355",43.2654953,-2.9336355,125,150.0,137.5,Creativa,,,
Nerua Guggenheim,1,Bilbao,Vizcaya,Pais Vasco,Yes,"43.2688201,-2.9347598",43.2688201,-2.9347598,75,148.0,111.5,Creativa,,,
Europa,1,Pamplona,Navarra,Navarra,No,"42.8162649,-1.642119",42.8162649,-1.642119,65,89.0,77.0,Contemporanea,,,Navarra
Rodero,1,Pamplona,Navarra,Navarra,No,"42.81585,-1.6395804",42.81585,-1.6395804,65,87.0,76.0,Moderna,,,
Boroa,1,Amorebieta,Vizcaya,Pais Vasco,Yes,"43.2405777,-2.7550323",43.2405777,-2.7550323,45,121.0,83.0,Tradicional,Contemporanea,,
La Biblioteca,1,Pamplona,Navarra,Navarra,No,"42.8195815,-1.6262414",42.8195815,-1.6262414,95,110.0,102.5,Creativa,Moderna,,
Eneko,1,Larraabetzu,Vizcaya,Pais Vasco,Yes,"43.260808,-2.8321865",43.260808,-2.8321865,77,,77.0,Creativa,,,
Azurmendi,3,Larraabetzu,Vizcaya,Pais Vasco,Yes,"43.2605569,-2.8182185",43.2605569,-2.8182185,250,,250.0,Creativa,,,
Malena,1,Gimenells,Lerida,Cataluna,No,"41.6563339,0.387171",41.6563339,0.387171,45,77.0,61.0,Moderna,,,
Can Bosh,1,Cambrils,Tarragona,Cataluna,Yes,"41.0671239,1.0568278",41.0671239,1.0568278,48,90.0,69.0,Tradicional,,,
Rincon de Diego,1,Cambrils,Tarragona,Cataluna,Yes,"41.0671239,1.0568278",41.0671239,1.0568278,49,105.0,77.0,Tradicional,,,
Quatre Molins,1,Cornudella de Montsant,Tarragona,Cataluna,Yes,"41.264595,0.9027138",41.264595,0.9027138,50,65.0,57.5,Creativa,,,
El Molino de Urdaniz,2,Urdaitz,Navarra,Navarra,No,"42.9091848,-1.5361855",42.9091848,-1.5361855,120,,120.0,Creativa,,,
Deliranto,1,Salou,Tarragona,Cataluna,Yes,"41.0769045,1.1305012",41.0769045,1.1305012,120,150.0,135.0,Creativa,Contemporanea,,
Elkano,1,Getaria,Guipuzcua,Pais Vasco,No,"43.3030455,-2.2071664",43.3030455,-2.2071664,75,110.0,92.5,Tradicional,Contemporanea,,
Martin Berasategui,3,Lasarte,Guipuzcua,Pais Vasco,Yes,"43.2667833,-2.0177258",43.2667833,-2.0177258,190,285.0,237.5,Creativa,,,
Akelare,2,San Sebastian,Guipuzcua,Pais Vasco,Yes,"43.307785,-2.0453251",43.307785,-2.0453251,240,,240.0,Creativa,Tradicional,,
La Boscana,1,Bellvis,Guipuzcua,Pais Vasco,Yes,"41.6618194,0.8057873",41.6618194,0.8057873,55,125.0,90.0,Creativa,Tradicional,,
eMe Be Garrote,1,San Sebastian,Guipuzcua,Pais Vasco,Yes,"43.3005758,-2.0120315",43.3005758,-2.0120315,60,105.0,82.5,Contemporanea,,,Vasca
Mugaritz,2,Errentia,Guipuzcua,Pais Vasco,Yes,"43.2723222,-1.9193314",43.2723222,-1.9193314,220,,220.0,Creativa,,,
Amelia,1,San Sebastian,Guipuzcua,Pais Vasco,Yes,"43.3169097,-1.9883354",43.3169097,-1.9883354,170,,170.0,Creativa,,Internacional,
Kokotxa,1,San Sebastian,Guipuzcua,Pais Vasco,Yes,"43.323537,-1.9892727",43.323537,-1.9892727,88,120.0,104.0,Moderna,,,
Arzak,3,San Sebastian,Guipuzcua,Pais Vasco,Yes,"43.3214494,-1.9514804",43.3214494,-1.9514804,195,255.0,225.0,Creativa,Tradicional,,
Mirador de Ulia,1,San Sebastian,Guipuzcua,Pais Vasco,Yes,"43.3287908,-1.9697418",43.3287908,-1.9697418,65,120.0,92.5,Creativa,,,
Zuberoa,1,Oiartzun,Guipuzcua,Pais Vasco,Yes,"43.2930794,-1.8685628",43.2930794,-1.8685628,90,154.0,122.0,Tradicional,,,
Es Fum,1,Palmanova,Islas Baleares,Islas Baleares,Yes,"39.5284887,2.5486078",39.5284887,2.5486078,135,160.0,147.5,Creativa,,,Balear
Alameda,1,Hondarribia,Guipuzcua,Pais Vasco,Yes,"43.3612116,-1.7948323",43.3612116,-1.7948323,78,115.0,96.5,Moderna,,,
Adrian Quetglas,1,Palma de Mallorca,Islas Baleares,Islas Baleares,Yes,"39.5734904,2.6414388",39.5734904,2.6414388,35,60.0,47.5,Moderna,,,
DINS Santi Taura,1,Palma de Mallorca,Islas Baleares,Islas Baleares,Yes,"39.5657104,2.6508216",39.5657104,2.6508216,70,95.0,82.5,Moderna,,,
Marc Fosh,1,Palma de Mallorca,Islas Baleares,Islas Baleares,Yes,"39.5734201,2.6491176",39.5734201,2.6491176,29,92.0,60.5,Moderna,,,
Callizo,1,Ainsa,Huesca,Aragon,No,"42.4176075,0.1358916",42.4176075,0.1358916,70,90.0,80.0,Creativa,Innovadora,,
Bens d'Avall,1,Soller,Islas Baleares,Islas Baleares,Yes,"39.7765476,2.6644796",39.7765476,2.6644796,60,80.0,70.0,Regional,,,Balear
El Raco d'Es Teix,1,Deia,Islas Baleares,Islas Baleares,Yes,"39.7470089,2.6474951",39.7470089,2.6474951,38,120.0,79.0,Internacional,Clasca,,
Maca de Castro,1,Port d'Alcudia,Islas Baleares,Islas Baleares,Yes,"39.834053,3.1159604",39.834053,3.1159604,132,,132.0,Creativa,,,
Cocina Hermanos Torres,2,Barcelona,Barcelona,Cataluna,Yes,"41.3865123,2.1379099",41.3865123,2.1379099,104,185.0,144.5,Creativa,,,
Pakta,1,Barcelona,Barcelona,Cataluna,Yes,"41.3744,2.1523113",41.3744,2.1523113,120,,120.0,Fusion,,Peruano-japonesa,
Via Veneto,1,Barcelona,Barcelona,Cataluna,Yes,"41.3923738,2.1369106",41.3923738,2.1369106,65,130.0,97.5,Clasica,,,
Cinc Sentis,2,Barcelona,Barcelona,Cataluna,Yes,"41.3783882,2.1502284",41.3783882,2.1502284,99,119.0,109.0,Creativa,,,
Hoja Santa,1,Barcelona,Barcelona,Cataluna,Yes,"41.3761701,2.1519417",41.3761701,2.1519417,55,75.0,65.0,Internacional,,Mexicana,
Enigma,1,Barcelona,Barcelona,Cataluna,Yes,"41.3767234,2.1519097",41.3767234,2.1519097,220,,220.0,Creativa,,,
Tickets,1,Barcelona,Barcelona,Cataluna,Yes,"41.3752065,2.1546614",41.3752065,2.1546614,30,60.0,45.0,Creativa,,,
Disfrutar,2,Barcelona,Barcelona,Cataluna,Yes,"41.3877627,2.1510103",41.3877627,2.1510103,155,195.0,175.0,Creativa,,,
Hisop,1,Barcelona,Barcelona,Cataluna,Yes,"41.3943864,2.145896",41.3943864,2.145896,60,70.0,65.0,Creativa,,,
ABaC,3,Barcelona,Barcelona,Cataluna,Yes,"41.410627,2.1341802",41.410627,2.1341802,225,,225.0,Creativa,,,
